City,Country,Latitude,Longitude,Wind Speed (mph),Temperature (Fahrenheit),Humidity,Visibility,Pressure
severo-kurilsk,RU,50.68,156.12,11.45,41.49,65,58,1015
keti bandar,PK,24.14,67.45,16.87,81.07,84,0,1007
ushuaia,AR,-54.8,-68.3,11.41,39.2,69,40,1011
bredasdorp,ZA,-34.53,20.04,1.12,55.4,87,99,1023
kodiak,US,57.79,-152.41,14.99,57.2,28,1,1003
alofi,NU,-19.06,-169.92,5.82,84.2,74,3,1012
busselton,AU,-33.65,115.33,22.32,65.98,80,100,1005
lompoc,US,34.64,-120.46,17.22,60.6,55,1,1019
avarua,CK,-21.21,-159.78,6.93,80.6,74,87,1012
puerto ayora,EC,-0.74,-90.35,11.41,79.65,69,20,1009
verkhnyaya inta,RU,65.98,60.31,3.87,25.93,96,99,1022
tuktoyaktuk,CA,69.45,-133.04,9.17,14.0,72,90,1028
pacific grove,US,36.62,-121.92,11.41,59.05,51,1,1022
tecoanapa,MX,16.52,-98.75,7.36,81.61,69,0,1010
kyaikto,MM,17.3,97.02,2.06,85.96,63,0,1011
bontang,ID,0.13,117.5,3.58,82.6,74,94,1011
grand gaube,MU,-20.01,57.66,5.99,77.0,78,60,1017
puerto madero,MX,14.72,-92.42,9.17,87.8,70,40,1009
havelock,US,34.88,-76.9,11.01,70.83,69,0,1011
san patricio,MX,19.22,-104.7,13.87,78.8,83,20,1008
miles city,US,46.41,-105.84,33.33,53.6,81,90,1011
inuvik,CA,68.35,-133.72,6.93,21.2,62,5,1028
loukhi,RU,66.08,33.04,5.7,35.76,96,99,1005
victoria,HK,22.29,114.16,5.99,79.68,74,3,1011
mar del plata,AR,-38.0,-57.56,9.17,57.76,93,90,1015
cidreira,BR,-30.18,-50.21,12.17,65.35,71,0,1018
bluff,NZ,-46.6,168.33,15.48,48.65,82,100,997
punta arenas,CL,-53.15,-70.92,4.7,39.09,86,94,1009
khatanga,RU,71.97,102.5,8.12,12.99,95,100,1017
katsuura,JP,35.13,140.3,1.99,64.0,93,100,1012
san cristobal,VE,7.77,-72.22,3.33,68.92,68,94,1012
flinders,AU,-34.58,150.86,5.99,62.87,55,0,1021
starozhilovo,RU,54.23,39.92,3.18,53.01,81,100,1001
sorland,NO,67.67,12.69,18.88,38.52,88,99,1008
bhikangaon,IN,21.87,75.95,9.26,80.47,37,0,1009
mercedes,AR,-34.65,-59.43,1.01,59.0,99,100,1015
uturoa,PF,-16.73,-151.43,14.67,83.55,77,14,1012
pandan,PH,14.05,124.17,11.01,85.98,75,32,1011
hilo,US,19.73,-155.09,10.29,78.31,58,40,1020
port hedland,AU,-20.32,118.57,13.87,77.0,17,0,1017
muzhi,RU,65.37,64.67,3.94,17.44,94,0,1022
montepuez,MZ,-13.13,39.0,4.68,63.52,85,25,1016
nanchang,CN,28.68,115.88,4.52,85.87,58,1,1009
finschhafen,PG,-6.6,147.87,11.74,85.19,72,80,1011
mayo,US,38.89,-76.51,3.78,70.61,60,1,1006
guilin,CN,25.28,110.29,5.03,75.2,94,75,1009
alice springs,AU,-23.7,133.88,14.99,59.0,58,0,1025
kavieng,PG,-2.57,150.8,12.46,84.16,79,98,1009
kipini,KE,-2.53,40.53,16.62,80.82,82,2,1011
pampa,US,35.54,-100.96,11.41,81.64,42,1,1013
qui nhon,VN,13.77,109.23,3.65,82.58,71,0,1012
airai,TL,-8.93,125.41,4.41,67.91,51,100,1013
leh,IN,34.17,77.58,4.36,37.87,17,77,1026
saint-leu,RE,-21.15,55.28,8.05,69.6,73,40,1016
sovetskiy,RU,61.36,63.58,5.32,31.17,92,11,1023
filadelfia,US,39.95,-75.16,9.17,71.06,56,75,1005
rosarito,MX,32.33,-117.03,13.87,70.83,68,5,1017
birjand,IR,32.87,59.22,3.06,61.12,33,0,1011
kandrian,PG,-6.22,149.55,2.66,84.49,78,100,1010
butaritari,KI,3.07,172.79,9.73,82.58,81,100,1009
mandalgovi,MN,45.76,106.27,11.74,59.16,16,0,1013
ghatanji,IN,20.13,78.32,5.35,85.15,16,0,1007
elmina,GH,5.09,-1.35,6.11,81.14,84,100,1010
tiksi,RU,71.69,128.87,8.21,22.39,93,98,1017
lagoa,PT,39.05,-27.98,18.25,58.35,76,0,999
udachnyy,RU,66.42,112.4,6.71,37.4,37,33,1012
chicama,PE,-7.84,-79.15,6.13,72.28,70,34,1014
gemena,CD,3.25,19.77,1.79,75.94,63,50,1009
saint-philippe,RE,-21.36,55.77,8.05,70.09,73,40,1016
el tigre,VE,8.89,-64.25,11.56,83.86,50,1,1011
aksarayskiy,RU,46.79,48.01,8.95,65.19,52,94,1010
new norfolk,AU,-42.78,147.06,3.71,55.58,80,63,1023
kaitangata,NZ,-46.28,169.85,20.0,57.0,67,80,992
hamilton,US,39.18,-84.53,13.87,60.6,68,75,1010
nikolskoye,RU,59.7,30.79,2.55,41.58,93,40,1011
bethel,US,41.37,-73.41,2.24,69.03,28,1,1004
lorengau,PG,-2.02,147.27,3.71,86.5,67,100,1010
waingapu,ID,-9.66,120.26,14.09,82.6,70,4,1012
rio grande,BR,-32.03,-52.1,11.9,57.0,89,75,1017
souillac,MU,-20.52,57.52,8.05,75.2,88,40,1017
norman wells,CA,65.28,-126.83,13.87,32.0,92,75,1026
ukiah,US,39.15,-123.21,11.41,66.72,19,1,1021
chokurdakh,RU,70.63,147.92,4.79,13.12,94,24,1023
puerto lempira,HN,15.27,-83.77,5.82,80.6,78,75,1012
zhezkazgan,KZ,47.8,67.71,15.1,47.82,48,0,1020
gualaquiza,EC,-3.4,-78.55,1.21,63.48,64,100,1015
katherine,AU,-14.47,132.27,11.41,73.4,23,100,1017
east london,ZA,-33.02,27.91,10.6,64.89,75,100,1025
majene,ID,-3.54,118.97,5.97,83.5,72,100,1012
saskylakh,RU,71.92,114.08,5.57,15.33,95,100,1016
matara,LK,5.95,80.54,4.54,79.9,87,31,1009
gayny,RU,60.31,54.32,4.97,31.82,90,67,1024
agirish,RU,61.92,63.02,4.54,29.43,94,3,1023
kutum,SD,14.2,24.67,4.25,69.08,13,0,1009
muros,ES,42.78,-9.06,3.0,61.66,82,0,1006
albany,US,42.6,-73.97,5.39,66.33,28,40,1002
pelaya,CO,8.69,-73.66,2.68,80.01,83,72,1009
baoshan,CN,46.56,131.42,11.43,40.93,79,100,1009
walvis bay,NA,-22.96,14.51,7.52,63.19,65,0,1014
klaksvik,FO,62.23,-6.59,6.93,37.4,74,79,1024
dikson,RU,73.51,80.55,9.31,10.71,95,59,1022
mwene-ditu,CD,-7.0,23.45,3.58,66.9,75,9,1012
tiarei,PF,-17.53,-149.33,6.93,87.8,66,3,1013
portland,US,45.52,-122.68,4.7,57.56,50,75,1026
horta,PT,38.53,-28.63,23.8,59.85,76,79,1000
svetlaya,RU,46.54,138.33,12.24,40.8,91,100,1003
naze,JP,28.37,129.48,13.87,77.95,78,75,1009
dingle,PH,11.0,122.67,7.16,88.86,61,100,1010
marzuq,YE,14.4,46.47,1.45,78.89,40,14,1009
aykhal,RU,66.0,111.5,6.71,37.4,37,100,1012
marabba,SD,12.35,32.18,7.94,82.54,48,71,1006
flin flon,CA,54.77,-101.86,6.8,40.69,59,96,1021
terney,RU,45.05,136.61,4.63,43.59,83,100,1003
asau,RO,46.43,26.4,2.01,51.01,84,100,1006
sakaiminato,JP,35.55,133.23,3.36,73.02,64,20,1006
okhotsk,RU,59.38,143.3,16.73,38.05,76,100,1006
longyearbyen,SJ,78.22,15.64,3.36,15.8,72,40,1012
ruteng,ID,-8.61,120.47,2.66,72.34,60,39,1012
atambua,ID,-9.11,124.89,5.57,80.29,58,59,1013
hobyo,SO,5.35,48.53,17.63,84.63,72,92,1008
malakal,SS,9.53,31.66,4.05,83.52,48,100,1007
bay roberts,CA,47.6,-53.26,4.0,34.81,1,100,997
port blair,IN,11.67,92.75,7.74,84.65,73,20,1010
meridian,US,43.61,-116.39,11.41,60.67,19,1,1020
kaputa,ZM,-8.47,29.66,2.77,68.72,66,100,1015
domoni,KM,-12.26,44.53,9.13,78.87,82,100,1013
lichuan,CN,30.3,108.85,5.01,69.6,51,100,1007
sitka,US,57.05,-135.33,8.05,48.2,81,90,1010
miracema do tocantins,BR,-9.56,-48.4,3.22,74.91,82,100,1012
komsomolets,KZ,53.75,62.07,6.51,39.65,67,0,1025
great falls,US,47.5,-111.3,23.04,57.15,17,1,1015
arraial do cabo,BR,-22.97,-42.03,13.29,71.29,72,0,1019
yumen,CN,40.28,97.2,15.77,61.36,27,8,1012
hobart,AU,-42.88,147.33,4.7,57.34,66,20,1024
paradise,US,36.1,-115.15,21.92,88.83,9,20,1010
gbadolite,CD,4.28,21.02,2.75,74.73,68,1,1009
vestmannaeyjar,IS,63.44,-20.27,9.84,41.81,66,100,1022
rocha,UY,-34.48,-54.33,4.43,51.37,90,29,1018
cochrane,CA,51.18,-114.47,28.86,54.03,53,90,1008
lazurne,UA,46.08,32.53,8.01,54.0,97,2,1008
charlottesville,US,38.03,-78.48,2.3,72.72,50,90,1006
sur,OM,22.57,59.53,6.55,87.55,50,0,1009
lebu,CL,-37.62,-73.65,4.68,54.16,82,93,1019
namatanai,PG,-3.67,152.43,5.3,83.64,79,30,1010
majalgaon,IN,19.15,76.23,6.93,78.24,24,0,1008
saint-paul,RE,-21.01,55.27,18.34,68.92,88,90,1016
iqaluit,CA,63.75,-68.51,21.92,10.2,72,75,1011
igrim,RU,63.19,64.42,3.65,29.07,91,0,1022
west wendover,US,40.74,-114.07,11.41,64.4,31,75,1016
berlevag,NO,70.86,29.09,2.24,33.8,94,75,1003
san rafael del sur,NI,11.85,-86.44,6.64,85.55,52,34,1009
bandarbeyla,SO,9.49,50.81,7.0,83.55,78,100,1009
lata,PT,40.16,-8.33,6.93,62.94,88,0,1009
sembe,CG,1.65,14.58,2.46,73.4,78,100,1010
vanimo,PG,-2.67,141.3,6.98,81.16,82,100,1011
grindavik,IS,63.84,-22.43,13.87,41.0,80,75,1020
johnshaven,GB,56.79,-2.34,3.36,40.57,93,83,1021
tanout,NE,14.97,8.89,9.73,84.15,12,2,1007
meulaboh,ID,4.14,96.13,4.63,76.26,88,99,1011
bjornevatn,NO,69.67,29.98,5.82,35.6,95,75,1003
betioky,MG,-23.72,44.38,4.52,63.9,77,0,1018
tortoli,IT,39.93,9.66,8.05,60.01,72,20,1015
excelsior springs,US,39.34,-94.23,4.7,69.67,30,1,1015
rundu,NA,-17.93,19.77,3.49,63.63,31,38,1017
geraldton,AU,-28.77,114.6,12.75,66.2,88,84,1015
srednekolymsk,RU,67.45,153.68,13.65,30.67,97,100,1018
veseloyarsk,RU,51.28,81.11,11.39,56.1,70,100,1005
mindelo,CV,16.89,-24.98,26.4,73.4,78,75,1015
macae,BR,-22.37,-41.79,2.24,64.4,88,0,1018
marsa matruh,EG,31.35,27.25,6.17,60.8,82,0,1011
salo,IT,45.61,10.53,5.82,56.5,62,5,1017
rimbey,CA,52.63,-114.24,20.8,46.4,87,90,1009
bidhuna,IN,26.8,79.51,5.77,85.26,41,87,1007
brae,GB,60.4,-1.35,5.08,33.8,70,10,1022
inongo,CD,-1.95,18.27,4.38,74.64,73,0,1009
sao filipe,CV,14.9,-24.5,10.96,76.91,58,0,1014
camacha,PT,33.08,-16.33,13.87,66.2,63,40,1011
bozoum,CF,6.32,16.38,3.94,69.96,75,100,1011
toora-khem,RU,52.47,96.11,3.49,51.62,38,64,1010
ustye,RU,59.63,39.74,5.61,49.62,93,62,1012
santa rosa,PH,14.31,121.11,8.05,88.97,70,75,1011
longonjo,AO,-12.91,15.25,2.19,59.23,42,0,1016
presidencia roque saenz pena,AR,-26.79,-60.44,7.54,66.4,57,2,1012
atar,MR,20.52,-13.05,5.79,81.95,14,0,1010
west bay,KY,19.37,-81.42,4.7,81.19,94,40,1013
antofagasta,CL,-23.65,-70.4,10.29,60.8,87,90,1013
ust-shonosha,RU,61.15,41.34,4.61,47.57,92,77,1011
sambava,MG,-14.27,50.17,8.3,75.42,86,100,1015
rumoi,JP,43.93,141.64,5.1,64.26,53,99,1004
along,IN,28.17,94.77,0.56,70.48,56,81,1015
paita,PE,-5.09,-81.11,15.88,72.68,75,61,1011
honavar,IN,14.28,74.45,1.16,82.67,84,96,1009
channel-port aux basques,CA,47.57,-59.14,13.35,34.12,89,0,1009
abu kamal,SY,34.45,40.92,7.07,71.49,24,100,1008
iracoubo,GF,5.48,-53.2,12.03,78.57,90,100,1012
cabo san lucas,MX,22.89,-109.91,26.4,89.06,21,40,1012
eucaliptus,BO,-17.58,-67.52,7.18,52.05,21,100,1017
faya,SA,18.39,42.45,1.63,68.9,45,6,1023
alyangula,AU,-13.85,136.42,12.75,84.2,51,42,1014
sao joao da barra,BR,-21.64,-41.05,12.41,68.32,79,0,1019
gao,ML,16.64,1.64,8.75,89.49,10,0,1006
stephenville,US,32.22,-98.2,8.05,86.52,48,1,1011
ende,ID,-8.84,121.66,6.6,81.93,76,54,1012
khani,GE,41.96,42.96,6.93,60.8,87,75,1008
deputatskiy,RU,69.3,139.9,3.87,12.4,90,100,1021
tasiilaq,GL,65.61,-37.64,29.97,30.2,92,100,1004
paamiut,GL,61.99,-49.67,6.67,32.18,98,100,998
trinidad,BO,-14.83,-64.9,1.81,75.4,79,100,1010
salacgriva,LV,57.75,24.36,4.79,43.0,95,57,1010
dakar,SN,14.69,-17.44,4.7,71.6,83,0,1012
gazanjyk,TM,39.24,55.52,8.86,68.9,57,18,1008
hovd,MN,48.01,91.64,5.91,60.55,17,100,1009
noumea,NC,-22.28,166.46,6.93,73.4,88,90,1014
pangai,TO,-19.8,-174.35,6.93,82.4,78,75,1013
bambous virieux,MU,-20.34,57.76,8.05,76.06,88,40,1017
carcassonne,FR,43.25,2.17,3.53,55.08,93,100,1017
esmeralda,CU,21.85,-78.12,8.23,75.92,76,4,1016
saint pete beach,US,27.73,-82.74,11.18,75.31,1,0,1014
vao,NC,-22.67,167.48,18.79,74.07,85,83,1013
mount gambier,AU,-37.83,140.77,3.36,53.6,81,75,1030
miracatu,BR,-24.28,-47.46,2.17,60.96,91,14,1020
matagami,CA,49.75,-77.63,18.34,35.6,74,90,1008
comodoro rivadavia,AR,-45.87,-67.5,6.93,57.2,58,74,1006
arua,UG,3.02,30.91,3.22,64.63,62,80,1012
fort walton beach,US,30.41,-86.62,3.36,73.26,69,1,1017
nago,JP,26.59,127.98,12.75,78.53,94,75,1012
sungai besar,MY,3.67,100.99,3.36,78.4,94,40,1010
lichinga,MZ,-13.31,35.24,4.25,55.15,52,0,1017
zheleznodorozhnyy,RU,55.75,38.0,8.95,57.2,71,72,1014
japoata,BR,-10.35,-36.8,3.51,73.83,90,61,1015
gornyy,RU,55.12,83.91,10.45,50.59,79,99,1000
annau,TM,37.89,58.52,4.7,66.2,82,75,1009
shar,KZ,49.59,81.05,14.27,56.43,66,100,1008
maragogi,BR,-9.01,-35.22,6.8,78.28,81,90,1014
duxbury,US,42.04,-70.67,3.36,59.67,68,1,1003
itarema,BR,-2.92,-39.92,9.71,78.46,87,93,1012
castro,BR,-24.79,-50.01,6.42,52.39,69,0,1020
panama city,PA,8.99,-79.52,4.7,84.2,70,9,1008
krasnokamensk,RU,50.1,118.04,9.48,54.07,33,2,1008
conceicao da barra,BR,-18.59,-39.73,8.25,71.82,77,36,1018
arisvi,GR,41.07,25.58,1.01,54.0,89,100,1006
billings,US,45.78,-108.5,23.04,58.86,41,40,1015
rochegda,RU,62.8,43.25,8.55,46.47,94,100,1010
sisimiut,GL,66.94,-53.67,11.14,28.4,97,100,1000
uruzgan,AF,32.83,66.0,1.66,58.37,29,0,1014
naraura,IN,28.2,78.38,3.36,80.89,51,3,1006
gizo,SB,-8.1,156.84,5.21,85.55,69,9,1010
abu dhabi,AE,24.47,54.37,5.82,83.5,65,9,1008
fairbanks,US,64.84,-147.72,17.22,48.47,25,1,1012
sheridan,US,44.83,-106.92,18.34,62.98,29,75,1012
ilulissat,GL,69.22,-51.1,4.7,30.2,86,100,998
nanga eboko,CM,4.68,12.37,2.68,70.29,82,97,1011
kenai,US,60.55,-151.26,14.99,56.46,28,90,1004
buala,SB,-8.14,159.59,4.16,87.06,64,5,1010
olafsvik,IS,64.89,-23.71,20.98,39.92,86,100,1017
linhares,BR,-19.39,-40.07,5.77,68.7,79,1,1018
zhelyabovka,UA,45.4,34.76,1.66,50.67,88,9,1007
tura,IN,25.52,90.22,2.1,76.42,65,0,1009
sibu,MY,2.3,111.82,2.24,78.31,94,75,1011
wilmington,US,34.23,-77.94,11.41,72.72,53,1,1011
coari,BR,-4.08,-63.14,1.07,76.35,93,38,1011
korla,CN,41.76,86.15,11.25,73.65,14,98,1009
omsukchan,RU,62.53,155.8,4.97,25.95,89,100,1015
junin,AR,-34.58,-60.94,5.01,57.99,88,100,1016
provideniya,RU,64.38,-173.3,2.66,37.96,71,0,1021
hoi an,VN,15.88,108.33,3.36,84.2,79,20,1010
nador,MA,35.17,-2.93,2.95,63.75,77,63,1014
kyzyl-suu,KG,42.34,78.0,3.27,47.82,43,99,1019
san-pedro,CI,4.75,-6.64,4.14,79.97,89,100,1011
narsaq,GL,60.92,-46.05,3.36,33.8,86,100,1001
saldanha,ZA,-33.01,17.94,2.24,50.0,81,43,1020
lazaro cardenas,MX,17.96,-102.2,7.02,79.21,69,0,1009
bayanday,RU,53.07,105.51,2.48,48.24,39,13,1017
batagay-alyta,RU,67.8,130.41,3.47,17.31,84,0,1019
cherskiy,RU,68.75,161.3,4.72,29.68,97,100,1018
emerald,AU,-23.53,148.17,16.11,67.01,37,0,1022
yulara,AU,-25.24,130.99,14.99,60.8,48,0,1025
horsham,GB,51.06,-0.33,3.36,50.09,87,75,1017
sao jose da coroa grande,BR,-8.9,-35.15,7.2,78.46,81,100,1014
senanga,ZM,-16.12,23.27,4.61,66.06,38,88,1016
metro,ID,-5.11,105.31,4.45,78.94,84,100,1011
atasu,KZ,48.68,71.64,13.22,45.93,58,0,1019
kisangani,CD,0.52,25.2,1.72,72.23,79,36,1009
penzance,GB,50.12,-5.54,10.29,52.05,93,95,1017
bull savanna,JM,17.89,-77.59,3.24,76.55,78,99,1014
chingola,ZM,-12.53,27.88,3.96,57.92,58,0,1017
nacala,MZ,-14.54,40.67,7.18,69.69,91,9,1015
yinchuan,CN,38.47,106.27,10.85,59.29,49,100,1014
faanui,PF,-16.48,-151.75,13.29,82.69,76,0,1012
stavanger,NO,58.97,5.73,9.17,40.73,70,20,1017
acapulco,MX,16.86,-99.89,5.82,82.4,83,5,1009
saysain,PH,14.56,120.39,6.93,87.8,62,75,1012
quatre cocos,MU,-20.21,57.76,8.05,76.69,88,40,1017
yanam,IN,16.73,82.22,3.09,81.77,83,0,1009
tarko-sale,RU,64.92,77.78,17.47,27.59,98,99,1009
greencastle,US,39.64,-86.86,5.82,56.98,67,1,1014
kashi,CN,39.45,75.98,13.42,60.8,18,20,1012
birin,NP,26.89,88.07,2.51,63.46,53,19,1014
vila velha,BR,-20.33,-40.29,11.41,73.18,73,75,1018
codrington,AU,-38.27,141.97,3.53,55.56,82,100,1030
buraydah,SA,26.33,43.98,4.7,73.4,27,0,1012
bathsheba,BB,13.22,-59.52,19.46,80.6,78,40,1013
jiuquan,CN,39.74,98.52,2.42,60.39,29,0,1012
qiongshan,CN,20.01,110.35,8.95,80.6,88,0,1010
asasa,ET,7.1,39.2,3.33,57.2,43,100,1015
poum,NC,-20.23,164.02,19.91,77.11,84,76,1012
cape canaveral,US,28.41,-80.6,10.29,73.83,73,1,1017
nanortalik,GL,60.14,-45.24,17.96,38.8,93,100,1001
la ronge,CA,55.1,-105.28,11.41,50.0,43,75,1018
sinnamary,GF,5.38,-52.95,12.15,78.67,89,100,1012
sabang,ID,5.89,95.32,5.08,82.83,70,97,1010
baherden,TM,38.44,57.43,2.82,69.91,50,100,1010
manaure,CO,11.78,-72.44,18.79,81.63,76,100,1010
bolu,TR,40.67,31.58,0.98,49.1,65,88,1005
rurrenabaque,BO,-14.44,-67.53,0.58,75.4,78,100,1012
kruisfontein,ZA,-34.0,24.73,11.86,56.95,87,100,1024
hamadan,IR,34.8,48.51,8.1,48.18,27,1,1016
waddan,LY,29.16,16.14,4.23,65.16,44,0,1017
laguna,US,38.42,-121.42,5.82,76.62,20,5,1018
husavik,IS,66.04,-17.34,28.86,41.0,44,100,1018
bengkulu,ID,-3.8,102.27,3.91,79.03,80,59,1011
vostok,RU,46.49,135.88,2.24,37.33,79,100,1004
arman,RU,59.7,150.17,25.97,35.94,81,100,1005
werda,BW,-25.27,23.28,8.28,63.59,20,0,1018
lazarev,RU,52.23,141.51,5.73,36.3,76,100,1010
arlit,NE,18.74,7.39,7.99,86.54,18,4,1008
biak,ID,-0.91,122.88,4.47,80.53,75,100,1011
rio brilhante,BR,-21.8,-54.55,5.03,71.04,56,36,1014
bilibino,RU,68.05,166.44,2.35,25.93,86,34,1018
bairiki,KI,1.33,172.98,11.41,86.0,74,75,1010
monchique,PT,37.32,-8.56,5.93,70.48,73,0,1010
katangli,RU,51.71,143.23,4.03,41.58,62,100,1010
dawei,MM,14.08,98.2,2.77,85.19,67,46,1011
leningradskiy,RU,69.38,178.42,0.49,31.69,88,0,1019
kloulklubed,PW,7.04,134.26,3.36,84.2,74,75,1012
chuy,UY,-33.7,-53.46,6.08,56.41,81,100,1018
huarmey,PE,-10.07,-78.15,9.31,69.35,81,95,1015
caravelas,BR,-17.71,-39.25,11.86,74.95,74,30,1017
fort nelson,CA,58.81,-122.7,17.22,62.6,42,75,1008
ahipara,NZ,-35.17,173.17,17.72,63.9,75,3,1005
ketchikan,US,55.34,-131.65,24.16,47.14,93,90,1016
kiama,AU,-34.68,150.87,3.0,62.28,56,0,1026
pevek,RU,69.7,170.31,12.35,24.87,91,10,1018
phan thiet,VN,10.93,108.1,5.68,85.33,64,7,1011
caiaponia,BR,-16.96,-51.81,3.04,63.99,60,25,1015
port lincoln,AU,-34.73,135.87,6.31,60.84,66,64,1029
mumford,GH,5.26,-0.76,8.61,80.96,85,100,1010
bhadrachalam,IN,17.67,80.88,7.54,82.62,74,39,1009
konya,TR,38.17,32.5,1.12,48.2,93,75,1008
constitucion,CL,-35.33,-72.42,8.55,57.4,73,100,1019
fortuna,US,40.6,-124.16,11.41,57.99,62,20,1024
posse,BR,-14.09,-46.37,4.38,65.98,63,5,1016
ust-nera,RU,64.57,143.2,7.43,24.64,87,100,1016
ostrovnoy,RU,68.05,39.51,13.42,35.82,95,100,1005
zhigansk,RU,66.77,123.37,2.89,27.16,92,0,1018
marion,US,39.77,-86.16,8.05,58.57,59,75,1012
saint-joseph,RE,-21.37,55.62,8.05,73.4,73,40,1016
gravelbourg,CA,49.88,-106.55,16.24,60.19,39,100,1010
inhambane,MZ,-23.86,35.38,6.53,70.81,68,0,1019
salalah,OM,17.02,54.09,6.93,84.2,89,40,1009
chumikan,RU,54.72,135.31,13.33,35.87,83,0,1012
sioux lookout,CA,50.1,-91.92,5.82,33.8,80,90,1022
meadow lake,US,34.8,-106.54,10.29,83.73,9,40,1014
methoni,GR,36.82,21.7,14.03,56.43,93,20,1009
baruun-urt,MN,46.68,113.28,10.94,57.96,24,91,1011
tupik,RU,54.43,119.93,4.94,47.62,36,85,1010
margate,GB,51.38,1.39,4.0,49.66,77,100,1018
ponta delgada,PT,37.73,-25.67,21.92,59.0,72,40,1001
zyryanka,RU,65.75,150.85,18.41,25.75,97,100,1017
ontario,US,34.06,-117.65,14.99,75.6,47,20,1015
chapais,CA,49.78,-74.85,5.82,35.6,93,90,1004
usinsk,RU,65.99,57.53,7.29,26.31,96,100,1021
tahoua,NE,14.89,5.27,9.17,91.4,26,41,1010
holt,US,42.64,-84.52,10.29,61.18,29,1,1011
kharan,PK,28.58,65.42,2.15,79.27,24,66,1010
rawson,AR,-43.3,-65.1,8.41,59.85,42,13,1007
nosivka,UA,50.93,31.58,3.65,53.42,80,74,1009
college,US,64.86,-147.8,21.92,48.02,27,40,1012
gejiu,CN,23.31,103.16,4.7,65.82,46,0,1011
paveh,IR,35.04,46.36,5.23,48.07,33,0,1015
mukhen,RU,48.1,136.1,8.1,42.58,82,100,1005
nome,US,64.5,-165.41,5.82,44.46,31,1,1016
stromness,GB,58.97,-3.3,4.7,37.4,86,12,1022
petropavlovsk-kamchatskiy,RU,53.05,158.65,22.37,46.4,39,82,1010
narodychi,UA,51.2,29.08,10.69,54.5,87,100,1009
pontalina,BR,-17.52,-49.45,3.13,65.66,64,77,1016
abu samrah,SY,35.3,37.18,5.48,57.96,65,100,1010
teguldet,RU,57.31,88.17,7.05,51.15,81,100,1003
ahuimanu,US,21.44,-157.84,14.99,80.71,54,75,1020
aksu,CN,41.12,80.26,8.25,65.16,33,99,1013
sao miguel do araguaia,BR,-13.28,-50.16,3.71,72.23,73,81,1013
